City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Caravelas,BR,2021-10-29 18:40:59,-17.7125,-39.2481,78.26,71,32,8.39
144,Matara,LK,2021-10-29 18:41:00,5.9485,80.5353,76.78,90,91,2.68
145,West Bay,KY,2021-10-29 18:41:00,19.3667,-81.4167,88.0,76,20,5.99
146,Isangel,VU,2021-10-29 18:37:47,-19.55,169.2667,75.15,86,4,6.11
147,Malacacheta,BR,2021-10-29 18:39:35,-17.8422,-42.0767,76.6,60,95,6.11
148,Silifke,TR,2021-10-29 18:41:01,36.3778,33.9344,67.71,44,2,9.57
149,Iralaya,HN,2021-10-29 18:41:01,15.0,-83.2333,87.89,69,89,5.37
150,Thompson,CA,2021-10-29 18:39:12,55.7435,-97.8558,41.16,81,75,9.22
151,Heze,CN,2021-10-29 18:41:02,35.2431,115.4411,56.91,76,0,7.11
152,Letlhakane,BW,2021-10-29 18:41:03,-21.4167,25.5833,79.34,37,0,5.44
153,Wiarton,CA,2021-10-29 18:41:03,44.7407,-81.1332,54.03,82,90,17.27
154,Isetskoye,RU,2021-10-29 18:41:04,56.4858,65.3226,25.3,63,0,8.41
155,Narsaq,GL,2021-10-29 18:41:04,60.9167,-46.05,34.02,77,87,2.71
156,Sarny,UA,2021-10-29 18:41:04,51.338,26.6019,49.15,83,15,8.72
157,Nikolskoye,RU,2021-10-29 18:41:05,59.7035,30.7861,53.87,85,100,8.9
158,Lompoc,US,2021-10-29 18:41:05,34.6391,-120.4579,90.01,56,1,6.91
159,High Level,CA,2021-10-29 18:41:05,58.5169,-117.136,35.71,64,75,6.91
160,Tura,IN,2021-10-29 18:41:06,25.5198,90.2201,65.68,86,85,3.91
161,Pangody,RU,2021-10-29 18:41:06,65.85,74.4859,25.7,97,100,6.38
162,Tucuman,AR,2021-10-29 18:37:20,-26.8241,-65.2226,91.4,31,75,8.05
163,Atasu,KZ,2021-10-29 18:41:07,48.6814,71.6433,34.56,39,100,10.04
164,Avarua,CK,2021-10-29 18:37:44,-21.2078,-159.775,75.25,64,0,8.05
165,Cayenne,GF,2021-10-29 18:41:07,4.9333,-52.3333,87.84,77,40,4.0
166,Prince Rupert,CA,2021-10-29 18:41:08,54.3161,-130.3201,42.49,84,100,14.97
