City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Khani,GE,41.9563,42.9566,53.17,75,12,5.95,few clouds
160,Caravelas,BR,-17.7125,-39.2481,75.99,81,98,7.65,overcast clouds
161,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,58,20,8.05,few clouds
162,Codrington,AU,-38.2667,141.9667,41.32,95,3,8.1,clear sky
163,Tiksi,RU,71.6872,128.8694,-1.53,96,95,7.87,overcast clouds
164,Ponta Delgada,PT,37.7333,-25.6667,73.51,94,75,14.97,broken clouds
165,Nikolskoye,RU,59.7035,30.7861,46.02,93,95,7.47,overcast clouds
166,Longyearbyen,SJ,78.2186,15.6401,17.31,83,95,3.06,overcast clouds
167,Yuryevets,RU,57.3201,43.1041,46.02,94,100,10.11,overcast clouds
168,Bertogne,BE,50.0836,5.6669,54.27,97,100,11.74,overcast clouds
169,Kodiak,US,57.79,-152.4072,47.71,87,90,32.21,mist
170,Ankpa,NG,7.3706,7.6253,76.06,81,100,1.3,light rain
171,Chaykovskiy,RU,56.7686,54.1148,43.81,97,100,6.15,overcast clouds
172,Lavrentiya,RU,65.5833,-171.0,10.99,79,41,6.06,scattered clouds
173,Severo-Kurilsk,RU,50.6789,156.125,39.92,84,67,10.89,broken clouds
174,Batasan,PH,12.7667,120.7833,80.58,73,96,4.25,overcast clouds
175,Ilulissat,GL,69.2167,-51.1,37.42,65,75,10.36,broken clouds
176,Kahului,US,20.8947,-156.47,85.26,65,1,9.22,clear sky
177,Bilma,NE,18.6853,12.9164,83.71,21,23,17.38,few clouds
178,Kharovsk,RU,59.9642,40.1912,42.76,92,93,5.19,overcast clouds
179,Grindavik,IS,63.8424,-22.4338,37.87,93,0,9.22,clear sky
180,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,20,3.44,few clouds
181,Upernavik,GL,72.7868,-56.1549,26.56,57,100,7.58,overcast clouds
182,San Isidro,PE,-12.1167,-77.05,65.79,80,75,5.01,broken clouds
183,Mlowo,TZ,-9.0,32.9833,70.2,52,83,5.12,broken clouds
184,Jalingo,NG,8.8833,11.3667,81.23,56,81,4.29,broken clouds
185,Alghero,IT,40.5589,8.3181,64.49,88,40,10.36,light rain
186,Padilla,CO,3.2204,-76.3139,83.77,64,61,2.35,broken clouds
187,Saint George,US,37.1041,-113.5841,81.07,34,1,1.01,clear sky
188,Arawa,PG,-6.2132,155.5367,77.63,90,93,3.06,moderate rain
189,Warrnambool,AU,-38.3833,142.4833,44.58,87,1,8.72,clear sky
190,Saint-Augustin,CA,51.226,-58.6502,48.22,52,6,6.44,clear sky
191,Berlevag,NO,70.8578,29.0864,38.44,74,95,3.0,overcast clouds
192,Keuruu,FI,62.2667,24.7,45.81,95,96,7.2,overcast clouds
193,Haines Junction,CA,60.7522,-137.5108,39.15,56,100,9.22,overcast clouds
194,Kavieng,PG,-2.5744,150.7967,82.18,78,34,12.57,light rain
195,Tabuk,PH,17.4189,121.4443,70.12,89,33,3.04,scattered clouds
196,Do Gonbadan,IR,30.3586,50.7981,64.49,63,0,0.0,clear sky
197,Znamenskoye,RU,57.1281,73.8282,26.04,79,100,7.74,light snow
198,Titlagarh,IN,20.3,83.15,72.37,85,94,0.49,overcast clouds
199,Saint-Philippe,RE,-21.3585,55.7679,71.15,80,100,4.12,overcast clouds
200,Margate,GB,51.3813,1.3862,53.31,81,72,14.67,broken clouds
201,Inuvik,CA,68.3499,-133.7218,17.64,92,40,0.0,scattered clouds
202,Taoudenni,ML,22.6783,-3.9836,87.87,24,1,4.88,clear sky
203,Fort Nelson,CA,58.8053,-122.7002,36.99,44,20,8.05,few clouds
204,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,79,20,3.0,volcanic ash
205,Torbay,CA,47.6666,-52.7314,45.88,71,20,2.3,few clouds
206,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,88.54,48,86,5.17,overcast clouds
207,Acapulco,MX,16.8634,-99.8901,84.94,70,11,7.45,few clouds
208,Klaksvik,FO,62.2266,-6.589,47.32,92,100,8.68,overcast clouds
209,Jiuquan,CN,39.7432,98.5174,38.52,41,11,5.3,few clouds
210,Naze,JP,28.3667,129.4833,67.39,78,0,7.18,clear sky
211,Odienne,CI,9.51,-7.5692,79.27,69,92,1.92,overcast clouds
212,Moissac,FR,44.1024,1.0945,63.28,78,100,2.57,overcast clouds
213,Semporna,MY,4.4818,118.6112,73.6,85,79,3.27,broken clouds
214,Yambio,SS,4.5721,28.3955,69.35,91,93,1.07,light rain
215,Port Hawkesbury,CA,45.6169,-61.3485,52.02,82,90,5.99,overcast clouds
216,Pisco,PE,-13.7,-76.2167,66.25,77,0,12.66,clear sky
217,Elat,IL,29.5581,34.9482,76.84,61,0,0.0,clear sky
218,Alugan,PH,12.2188,125.4808,80.85,78,100,17.67,overcast clouds
219,Copacabana,CO,6.3463,-75.5089,73.74,64,75,9.22,broken clouds
220,Hithadhoo,MV,-0.6,73.0833,82.87,75,100,18.43,overcast clouds
221,Inhambupe,BR,-11.7844,-38.3531,81.0,59,61,12.84,broken clouds
222,Waynesville,US,35.4887,-82.9887,53.91,87,100,3.0,overcast clouds
223,Katsuura,JP,35.1333,140.3,58.1,64,100,3.2,overcast clouds
224,Hobart,AU,-42.8794,147.3294,55.26,64,40,4.0,scattered clouds
225,Copiapo,CL,-27.3667,-70.3333,62.29,22,2,7.99,clear sky
226,Saskylakh,RU,71.9167,114.0833,8.26,94,100,10.63,overcast clouds
227,Tulle,FR,45.3333,1.8333,58.75,98,100,2.71,overcast clouds
228,Port Blair,IN,11.6667,92.75,80.37,81,98,1.72,overcast clouds
229,Bushehr,IR,28.9684,50.8385,80.69,69,0,4.61,clear sky
230,Tasiilaq,GL,65.6145,-37.6368,24.96,62,83,6.17,broken clouds
231,Rock Sound,BS,24.9,-76.2,80.49,75,100,16.75,overcast clouds
232,Ustrzyki Dolne,PL,49.4304,22.5938,50.13,100,6,5.88,clear sky
233,Severnyy,RU,50.677,36.5532,46.44,71,0,0.0,clear sky
234,Rapid Valley,US,44.0625,-103.1463,50.32,68,90,1.99,overcast clouds
235,Tual,ID,-5.6667,132.75,83.16,72,73,6.04,broken clouds
236,San Policarpo,PH,12.1791,125.5072,81.28,77,100,18.84,overcast clouds
