City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
258,Bengkulu,ID,75.83,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
259,Pochutla,MX,85.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
260,Sucua,EC,83.14,light rain,-2.4667,-78.1667,Hotel Orellana
261,Sao Jose Do Belmonte,BR,89.33,clear sky,-7.8614,-38.7597,Pousada Pedra do Reino
262,Hervey Bay,AU,77.04,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
263,Mecca,SA,81.66,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
270,Fomboni,KM,78.31,clear sky,-12.28,43.7425,Auberge les abou
272,Mandali,IQ,82.71,overcast clouds,33.7499,45.5541,قرئ الشيخ سحاب الندا
274,Bac Lieu,VN,79.75,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
276,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
288,Tirunelveli,IN,78.8,light rain,8.7333,77.7,Hotel MNH Royal Park
296,Yanam,IN,77.0,overcast clouds,16.7333,82.2167,The Regency Hotel
297,Matara,LK,76.5,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
301,Angoche,MZ,75.09,clear sky,-16.2325,39.9086,Guest House HESADA
306,Los Algarrobos,PA,82.81,scattered clouds,8.5,-82.4333,Waterfall Hostel
308,Nova Olinda Do Norte,BR,89.78,overcast clouds,-3.8881,-59.0942,Jardim Paiva Hotel
309,Acari,PE,79.5,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
310,Aloleng,PH,78.58,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
317,Araguaina,BR,89.56,broken clouds,-7.1911,-48.2072,Hotel São Vicente
322,Tucurui,BR,88.92,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
332,Ocos,GT,85.91,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
334,Katiola,CI,77.63,light rain,8.1333,-5.1,Auberge Residence Yebin
335,Marsassoum,SN,77.09,overcast clouds,12.8275,-15.9806,Djinoubor keur Samba ba
340,Ahuimanu,US,83.79,few clouds,21.4447,-157.8378,Paradise Bay Resort
341,Susangerd,IR,77.02,broken clouds,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
342,Altus,US,80.11,haze,34.6381,-99.334,"Holiday Inn Express & Suites Altus, an IHG Hotel"
344,Mbour,SN,81.45,overcast clouds,14.422,-16.9638,Tama Lodge
355,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
359,Aswan,EG,86.7,broken clouds,24.0934,32.907,Nuba Nile
371,Caetite,BR,82.56,broken clouds,-14.0694,-42.475,Hotel Porto do Sol
372,Bloomingdale,US,75.47,broken clouds,27.8936,-82.2404,Travel Club for Free
379,Saint-Georges,GD,85.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
389,Pahrump,US,82.51,few clouds,36.2083,-115.9839,Best Western Pahrump Oasis
390,Biak,ID,75.97,overcast clouds,-0.9131,122.8766,Penginapan Kim
402,Lazaro Cardenas,MX,83.84,clear sky,17.9583,-102.2,quinta antigua
403,Bambanglipuro,ID,77.16,overcast clouds,-7.95,110.2833,Puri Brata
404,Punta Cardon,VE,81.75,overcast clouds,11.6581,-70.215,Bambuda hotel
406,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
407,Sawakin,SD,84.33,clear sky,19.1059,37.3321,فندق الدويم
412,Sao Filipe,CV,79.86,broken clouds,14.8961,-24.4956,Hotel Xaguate
415,Sorong,ID,77.99,broken clouds,-0.8833,131.25,waigo splash hotel
423,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Fengshui Residence
425,Honiara,SB,79.77,broken clouds,-9.4333,159.95,Heritage Park Hotel
430,Vilhena,BR,88.02,thunderstorm,-12.7406,-60.1458,Hotel Mirage
438,Lorengau,PG,81.63,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
439,Auki,SB,79.61,overcast clouds,-8.7676,160.7034,Auki Motel
440,Jiwani,PK,82.11,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
448,Cochabamba,BO,76.75,scattered clouds,-17.3895,-66.1568,Violetta's Apart Hotel
451,Delta Del Tigre,UY,84.61,few clouds,-34.7633,-56.3853,FINCA SUAREZ
456,Ambon,ID,75.34,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
459,Sibolga,ID,76.51,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
460,Gunjur,GM,78.87,clear sky,13.2019,-16.7339,"Gunjur, dalabaa lodge"
461,Bhairab Bazar,BD,78.85,scattered clouds,24.0667,90.9667,RJ Tower Hotel And Resort
463,Alofi,NU,78.69,light rain,-19.0595,-169.9187,Taloa Heights
469,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
471,Ixtapa,MX,87.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
474,Phuket,TH,83.08,few clouds,8.0,98.25,The Surin
477,The Valley,AI,85.86,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
480,Nkhata Bay,MW,77.11,clear sky,-11.6066,34.2907,Mayoka Village
489,Alappuzha,IN,79.12,overcast clouds,9.49,76.3264,Panoramic Sea Resort
490,Tuy Hoa,VN,75.18,few clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
